Date,Neighborhood,Total Positives
5/14/20,N45: TRINIDAD,222
5/14/20,N8: BRIGHTWOOD PARK,221
5/14/20,N38: PETWORTH,208
5/14/20,N30: LINCOLN HEIGHTS,200
5/14/20,N34: MOUNT PLEASANT,198
5/14/20,N21: FORT LINCOLN/GATEWAY,193
5/14/20,N33: MICHIGAN PARK,190
5/14/20,N42: STADIUM ARMORY,180
5/14/20,N32: MARSHALL HEIGHTS,168
5/14/20,N20: FORT DUPONT,155
5/14/20,N39: SAINT ELIZABETHS,154
5/14/20,N29: LAMOND RIGGS,151
5/14/20,N14: CONGRESS HEIGHTS/SHIPLEY,149
5/14/20,N46: TWINING,143
5/14/20,N40: SHEPHERD PARK,134
5/14/20,N17: EASTLAND GARDENS,131
5/14/20,N26: HISTORIC ANACOSTIA,130
5/14/20,N18: EDGEWOOD,128
5/14/20,N41: SOUTH COLUMBIA HEIGHTS,124
5/14/20,N47: U ST/PLEASANT,123
5/14/20,N43: SW/WATERFRONT,122
5/14/20,N4: BELLEVUE,116
5/14/20,N16: DOUGLASS,116
5/14/20,N44: TENLEYTOWN,115
5/14/20,N2: ADAMS MORGAN,115
5/14/20,N6: BRENTWOOD,111
5/14/20,N48: UNION STATION,104
5/14/20,Unknown,95
5/14/20,N5: BLOOMINGDALE,94
5/14/20,N27: KENT/PALISADES,82
5/14/20,N28: KINGMAN PARK,80
5/14/20,N23: GEORGETOWN EAST,68
5/14/20,N51: WOODRIDGE,63
5/14/20,N24: GWU,63
5/14/20,N10: CATHEDRAL HEIGHTS,59
5/14/20,N49: WASHINGTON HIGHLANDS,51
5/14/20,N25: HILL EAST,48
5/14/20,N50: WOODLEY PARK,46
5/14/20,N9: CAPITOL HILL,40
5/14/20,N11: CHEVY CHASE,38
5/14/20,N19: FOREST HILLS,37
5/14/20,N3: BARNABY WOODS,33
5/14/20,N15: DC MEDICAL CENTER,17
5/14/20,N22: GEORGETOWN,15
5/14/20,N36: NAVAL STATION & AIR FORCE,1
5/14/20,N35: NATIONAL MALL,1
5/15/20,N13: COLUMBIA HEIGHTS,404
5/15/20,N1: 16th ST HEIGHTS,378
5/15/20,N7: BRIGHTWOOD,341
5/15/20,N12: CHINATOWN,272
5/15/20,N37: NAYLOR/HILLCREST,263
5/15/20,N8: BRIGHTWOOD PARK,232
5/15/20,N31: LOGAN CIRCLE/SHAW,230
5/15/20,N45: TRINIDAD,223
5/15/20,N38: PETWORTH,214
5/15/20,N30: LINCOLN HEIGHTS,208
5/15/20,N34: MOUNT PLEASANT,201
5/15/20,N33: MICHIGAN PARK,198
5/15/20,N21: FORT LINCOLN/GATEWAY,194
5/15/20,N42: STADIUM ARMORY,183
5/15/20,N32: MARSHALL HEIGHTS,175
5/15/20,N20: FORT DUPONT,161
5/15/20,N14: CONGRESS HEIGHTS/SHIPLEY,158
5/15/20,N39: SAINT ELIZABETHS,156
5/15/20,N29: LAMOND RIGGS,155
5/15/20,N46: TWINING,143
5/15/20,N40: SHEPHERD PARK,137
5/15/20,N26: HISTORIC ANACOSTIA,136
5/15/20,N17: EASTLAND GARDENS,133
5/15/20,N18: EDGEWOOD,131
5/15/20,N41: SOUTH COLUMBIA HEIGHTS,127
5/15/20,N47: U ST/PLEASANT,126
5/15/20,N43: SW/WATERFRONT,124
5/15/20,N2: ADAMS MORGAN,120
5/15/20,N4: BELLEVUE,119
5/15/20,N16: DOUGLASS,117
5/15/20,N44: TENLEYTOWN,115
5/15/20,N6: BRENTWOOD,111
5/15/20,N48: UNION STATION,106
