Date,Neighborhood,Confirmed,ZIP_CODE
2020-06-29,N49: WASHINGTON HIGHLANDS,86,20032.0
2020-06-29,N10: CATHEDRAL HEIGHTS,71,20016.0
2020-06-29,N9: CAPITOL HILL,65,20002.0
2020-06-29,N50: WOODLEY PARK,62,20008.0
2020-06-29,N19: FOREST HILLS,62,20008.0
2020-06-29,N24: GWU,60,20052.0
2020-06-29,N11: CHEVY CHASE,51,20015.0
2020-06-29,N3: BARNABY WOODS,39,20015.0
2020-06-29,N15: DC MEDICAL CENTER,22,20422.0
2020-06-29,N22: GEORGETOWN,21,20007.0
2020-06-29,N36: NAVAL STATION & AIR FORCE,4,20373.0
2020-06-29,N35: NATIONAL MALL,1,20004.0
2020-06-30,N13: COLUMBIA HEIGHTS,686,20010.0
2020-06-30,N1: 16th ST HEIGHTS,622,20011.0
2020-06-30,N7: BRIGHTWOOD,480,20011.0
2020-06-30,N12: CHINATOWN,369,20001.0
2020-06-30,N37: NAYLOR/HILLCREST,358,20020.0
2020-06-30,N38: PETWORTH,352,20011.0
2020-06-30,N8: BRIGHTWOOD PARK,343,20011.0
2020-06-30,N30: LINCOLN HEIGHTS,313,20019.0
2020-06-30,N45: TRINIDAD,309,20002.0
2020-06-30,N31: LOGAN CIRCLE/SHAW,308,20005.0
2020-06-30,N33: MICHIGAN PARK,304,20017.0
2020-06-30,N34: MOUNT PLEASANT,290,20010.0
2020-06-30,N32: MARSHALL HEIGHTS,266,20019.0
2020-06-30,N14: CONGRESS HEIGHTS/SHIPLEY,257,20032.0
2020-06-30,N21: FORT LINCOLN/GATEWAY,245,20018.0
2020-06-30,N20: FORT DUPONT,241,20019.0
2020-06-30,N29: LAMOND RIGGS,220,20011.0
2020-06-30,N46: TWINING,218,20020.0
2020-06-30,N39: SAINT ELIZABETHS,213,20032.0
2020-06-30,N42: STADIUM ARMORY,212,20009.0
2020-06-30,N26: HISTORIC ANACOSTIA,212,20373.0
2020-06-30,N4: BELLEVUE,203,20043.0
2020-06-30,N17: EASTLAND GARDENS,203,20019.0
2020-06-30,N18: EDGEWOOD,200,20002.0
2020-06-30,N43: SW/WATERFRONT,193,20024.0
2020-06-30,N47: U ST/PLEASANT,192,20001.0
2020-06-30,N41: SOUTH COLUMBIA HEIGHTS,184,20009.0
2020-06-30,N16: DOUGLASS,183,20020.0
2020-06-30,N40: SHEPHERD PARK,173,20012.0
2020-06-30,N2: ADAMS MORGAN,168,20009.0
2020-06-30,N6: BRENTWOOD,167,20018.0
2020-06-30,N48: UNION STATION,157,20002.0
2020-06-30,N5: BLOOMINGDALE,138,20001.0
2020-06-30,N44: TENLEYTOWN,137,20016.0
2020-06-30,N23: GEORGETOWN EAST,124,20007.0
2020-06-30,N28: KINGMAN PARK,120,20002.0
2020-06-30,N27: KENT/PALISADES,112,20016.0
2020-06-30,N51: WOODRIDGE,90,20018.0
2020-06-30,N25: HILL EAST,89,20003.0
2020-06-30,N49: WASHINGTON HIGHLANDS,87,20032.0
2020-06-30,N10: CATHEDRAL HEIGHTS,71,20016.0
2020-06-30,N9: CAPITOL HILL,67,20002.0
2020-06-30,N50: WOODLEY PARK,62,20008.0
2020-06-30,N19: FOREST HILLS,62,20008.0
2020-06-30,N24: GWU,60,20052.0
2020-06-30,N11: CHEVY CHASE,51,20015.0
2020-06-30,N3: BARNABY WOODS,39,20015.0
2020-06-30,N15: DC MEDICAL CENTER,22,20422.0
2020-06-30,N22: GEORGETOWN,21,20007.0
2020-06-30,N36: NAVAL STATION & AIR FORCE,4,20373.0
2020-06-30,N35: NATIONAL MALL,1,20004.0
2020-07-01,N13: COLUMBIA HEIGHTS,686,20010.0
2020-07-01,N1: 16th ST HEIGHTS,622,20011.0
2020-07-01,N7: BRIGHTWOOD,481,20011.0
2020-07-01,N12: CHINATOWN,369,20001.0
2020-07-01,N37: NAYLOR/HILLCREST,358,20020.0
2020-07-01,N38: PETWORTH,353,20011.0
2020-07-01,N8: BRIGHTWOOD PARK,343,20011.0
2020-07-01,N30: LINCOLN HEIGHTS,312,20019.0
2020-07-01,N31: LOGAN CIRCLE/SHAW,310,20005.0
2020-07-01,N45: TRINIDAD,309,20002.0
2020-07-01,N33: MICHIGAN PARK,304,20017.0
2020-07-01,N34: MOUNT PLEASANT,290,20010.0
2020-07-01,N32: MARSHALL HEIGHTS,267,20019.0
2020-07-01,N14: CONGRESS HEIGHTS/SHIPLEY,260,20032.0
2020-07-01,N21: FORT LINCOLN/GATEWAY,245,20018.0
2020-07-01,N20: FORT DUPONT,244,20019.0
2020-07-01,N29: LAMOND RIGGS,221,20011.0
2020-07-01,N46: TWINING,218,20020.0
2020-07-01,N39: SAINT ELIZABETHS,213,20032.0
2020-07-01,N26: HISTORIC ANACOSTIA,213,20373.0
2020-07-01,N42: STADIUM ARMORY,212,20009.0
2020-07-01,N17: EASTLAND GARDENS,204,20019.0
2020-07-01,N4: BELLEVUE,203,20043.0
2020-07-01,N18: EDGEWOOD,201,20002.0
2020-07-01,N43: SW/WATERFRONT,194,20024.0
2020-07-01,N47: U ST/PLEASANT,193,20001.0
2020-07-01,N41: SOUTH COLUMBIA HEIGHTS,186,20009.0
2020-07-01,N16: DOUGLASS,183,20020.0
2020-07-01,N40: SHEPHERD PARK,173,20012.0
2020-07-01,N2: ADAMS MORGAN,168,20009.0
2020-07-01,N6: BRENTWOOD,167,20018.0
2020-07-01,N48: UNION STATION,159,20002.0
2020-07-01,N5: BLOOMINGDALE,138,20001.0
2020-07-01,N44: TENLEYTOWN,137,20016.0
2020-07-01,N23: GEORGETOWN EAST,128,20007.0
2020-07-01,N28: KINGMAN PARK,120,20002.0
2020-07-01,N27: KENT/PALISADES,112,20016.0
2020-07-01,N51: WOODRIDGE,90,20018.0
2020-07-01,N25: HILL EAST,90,20003.0
2020-07-01,N49: WASHINGTON HIGHLANDS,87,20032.0
2020-07-01,N10: CATHEDRAL HEIGHTS,71,20016.0
2020-07-01,N9: CAPITOL HILL,66,20002.0
2020-07-01,N50: WOODLEY PARK,62,20008.0
2020-07-01,N19: FOREST HILLS,62,20008.0
2020-07-01,N24: GWU,60,20052.0
2020-07-01,N11: CHEVY CHASE,51,20015.0
2020-07-01,N3: BARNABY WOODS,39,20015.0
2020-07-01,N15: DC MEDICAL CENTER,22,20422.0
2020-07-01,N22: GEORGETOWN,21,20007.0
2020-07-01,N36: NAVAL STATION & AIR FORCE,4,20373.0
2020-07-01,N35: NATIONAL MALL,1,20004.0
2020-07-02,N13: COLUMBIA HEIGHTS,691,20010.0
2020-07-02,N1: 16th ST HEIGHTS,625,20011.0
2020-07-02,N7: BRIGHTWOOD,482,20011.0
2020-07-02,N12: CHINATOWN,371,20001.0
2020-07-02,N37: NAYLOR/HILLCREST,360,20020.0
2020-07-02,N38: PETWORTH,354,20011.0
2020-07-02,N8: BRIGHTWOOD PARK,343,20011.0
2020-07-02,N31: LOGAN CIRCLE/SHAW,314,20005.0
2020-07-02,N30: LINCOLN HEIGHTS,313,20019.0
2020-07-02,N45: TRINIDAD,311,20002.0
2020-07-02,N33: MICHIGAN PARK,305,20017.0
2020-07-02,N34: MOUNT PLEASANT,290,20010.0
2020-07-02,N32: MARSHALL HEIGHTS,267,20019.0
2020-07-02,N14: CONGRESS HEIGHTS/SHIPLEY,261,20032.0
2020-07-02,N21: FORT LINCOLN/GATEWAY,245,20018.0
2020-07-02,N20: FORT DUPONT,244,20019.0
2020-07-02,N29: LAMOND RIGGS,223,20011.0
2020-07-02,N46: TWINING,220,20020.0
2020-07-02,N39: SAINT ELIZABETHS,214,20032.0
2020-07-02,N26: HISTORIC ANACOSTIA,213,20373.0
2020-07-02,N42: STADIUM ARMORY,212,20009.0
2020-07-02,N17: EASTLAND GARDENS,204,20019.0
2020-07-02,N4: BELLEVUE,203,20043.0
2020-07-02,N18: EDGEWOOD,201,20002.0
2020-07-02,N47: U ST/PLEASANT,195,20001.0
2020-07-02,N43: SW/WATERFRONT,194,20024.0
2020-07-02,N41: SOUTH COLUMBIA HEIGHTS,187,20009.0
2020-07-02,N16: DOUGLASS,184,20020.0
2020-07-02,N40: SHEPHERD PARK,175,20012.0
2020-07-02,N6: BRENTWOOD,168,20018.0
2020-07-02,N2: ADAMS MORGAN,168,20009.0
2020-07-02,N48: UNION STATION,159,20002.0
2020-07-02,N5: BLOOMINGDALE,138,20001.0
2020-07-02,N44: TENLEYTOWN,137,20016.0
2020-07-02,N23: GEORGETOWN EAST,130,20007.0
2020-07-02,N28: KINGMAN PARK,120,20002.0
2020-07-02,N27: KENT/PALISADES,112,20016.0
2020-07-02,N25: HILL EAST,92,20003.0
2020-07-02,N51: WOODRIDGE,91,20018.0
