,YEAR,CENSUS TRACT,COUNTY NAME,POPULATION,POVERTY RATE,RENTER OCCUPIED HOUSEHOLDS,PCT RENTER OCCUPIED,MEDIAN GROSS RENT,MEDIAN HOUSEHOLD INCOME,MEDIAN PROPERTY VALUE,RENT BURDEN,PCT WHITE,PCT AF AM,PCT HISPANIC,PCT AM IND,PCT ASIAN,PCT NH PI,PCT MULTIPLE,PCT OTHER,LOW FLAG,IMPUTED,SYMBOL
73,2000.0,52.01,"WASHINGTON,DC",4559.0,19.38,2322.0,76.41,689.0,35561.0,448600.0,25.7,53.43,22.61,12.9,0.39,6.95,0.15,3.07,0.48,0.0,0.0,dc
74,2000.0,53.01,"WASHINGTON,DC",5045.0,8.71,2463.0,66.71,789.0,50510.0,488800.0,22.5,73.26,6.7,10.01,0.26,6.8,0.04,2.42,0.52,0.0,0.0,dc
75,2000.0,55.0,"WASHINGTON,DC",4696.0,12.78,2171.0,66.33,913.0,59609.0,435000.0,25.8,75.19,8.03,5.77,0.32,8.22,0.02,2.13,0.32,0.0,0.0,dc
76,2000.0,56.0,"WASHINGTON,DC",5946.0,24.61,2282.0,64.66,848.0,39286.0,337900.0,34.5,74.91,5.79,6.1,0.24,10.41,0.05,2.05,0.45,0.0,0.0,dc
77,2000.0,58.0,"WASHINGTON,DC",1470.0,31.36,710.0,76.76,1086.0,40644.0,454200.0,26.1,47.41,13.54,4.22,0.07,33.33,0.07,1.16,0.2,0.0,0.0,dc
78,2000.0,59.0,"WASHINGTON,DC",1856.0,36.99,634.0,98.75,397.0,21020.0,350000.0,18.5,8.35,80.93,4.04,0.22,3.18,0.05,2.75,0.48,0.0,0.0,dc
79,2000.0,62.02,"WASHINGTON,DC",12.0,0.0,5.0,100.0,0.0,0.0,0.0,0.0,58.33,41.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dc
80,2000.0,64.0,"WASHINGTON,DC",2240.19,42.53,823.0,85.64,271.98,13268.62,108390.74,25.9,3.17,90.49,2.68,0.18,2.01,0.0,1.38,0.09,0.0,0.0,dc
81,2000.0,65.0,"WASHINGTON,DC",2422.0,5.32,823.0,59.08,784.0,61903.0,287200.0,20.9,81.75,9.5,2.89,0.41,3.51,0.21,1.49,0.25,0.0,0.0,dc
82,2000.0,66.0,"WASHINGTON,DC",1837.0,5.23,557.0,52.7,898.0,75761.0,356100.0,20.6,86.83,4.74,2.99,0.22,3.54,0.05,1.31,0.33,0.0,0.0,dc
83,2000.0,67.0,"WASHINGTON,DC",3543.0,4.85,793.0,42.25,798.0,76952.0,262800.0,20.8,69.69,22.61,3.92,0.17,1.58,0.0,1.64,0.4,0.0,0.0,dc
84,2000.0,68.01,"WASHINGTON,DC",1997.0,24.37,443.0,50.63,569.0,30662.0,124600.0,28.9,5.31,92.14,1.0,0.15,0.4,0.0,0.95,0.05,0.0,0.0,dc
85,2000.0,68.02,"WASHINGTON,DC",2066.0,23.11,305.0,35.67,507.0,39097.0,133800.0,23.7,11.67,84.51,1.36,0.34,0.44,0.24,1.4,0.05,0.0,0.0,dc
86,2000.0,68.04,"WASHINGTON,DC",2628.0,9.59,150.0,87.72,99.0,31000.0,155600.0,9.9,6.62,86.34,4.64,0.08,0.72,0.0,1.33,0.27,0.0,0.0,dc
87,2000.0,69.0,"WASHINGTON,DC",1854.0,18.78,417.0,42.95,667.0,51438.0,167500.0,27.2,39.43,53.29,3.67,0.22,1.73,0.11,1.46,0.11,0.0,0.0,dc
88,2000.0,70.0,"WASHINGTON,DC",2132.0,13.52,512.0,48.85,831.0,67109.0,228700.0,21.2,68.01,22.65,4.88,0.33,2.39,0.09,1.5,0.14,0.0,0.0,dc
89,2000.0,71.0,"WASHINGTON,DC",2818.0,42.52,769.0,69.72,200.0,25022.0,125700.0,22.2,7.95,85.27,2.91,0.28,1.95,0.04,1.17,0.43,0.0,0.0,dc
90,2000.0,72.0,"WASHINGTON,DC",1825.0,62.08,816.0,96.57,144.0,8089.0,126800.0,24.9,3.07,94.3,1.21,0.11,0.38,0.11,0.82,0.0,0.0,0.0,dc
91,2000.0,73.01,"WASHINGTON,DC",5233.25,2.55,1334.0,98.02,1031.0,49122.0,95000.0,25.1,54.34,28.96,8.44,0.61,3.46,0.4,3.32,0.46,0.0,0.0,dc
92,2000.0,73.04,"WASHINGTON,DC",4665.0,43.77,1167.0,78.74,468.0,22550.0,98000.0,26.2,0.81,97.49,0.43,0.36,0.13,0.0,0.77,0.0,0.0,0.0,dc
93,2000.0,74.01,"WASHINGTON,DC",2996.0,57.71,834.0,93.39,288.0,14083.0,142900.0,23.7,0.4,97.8,0.9,0.03,0.0,0.0,0.8,0.07,0.0,0.0,dc
94,2000.0,74.03,"WASHINGTON,DC",2308.0,28.08,747.0,86.66,532.0,29095.0,70400.0,22.4,0.43,97.49,0.61,0.26,0.04,0.0,0.78,0.39,0.0,0.0,dc
95,2000.0,74.04,"WASHINGTON,DC",3314.0,63.42,880.0,92.93,282.0,9353.0,83500.0,25.8,0.33,98.25,0.91,0.06,0.0,0.0,0.45,0.0,0.0,0.0,dc
96,2000.0,74.06,"WASHINGTON,DC",3227.0,51.68,910.0,95.39,515.0,15877.0,87200.0,28.8,0.15,98.76,0.68,0.15,0.0,0.0,0.25,0.0,0.0,0.0,dc
97,2000.0,74.07,"WASHINGTON,DC",2373.0,24.42,590.0,65.7,598.0,33125.0,86900.0,24.0,1.05,96.63,1.05,0.34,0.34,0.0,0.59,0.0,0.0,0.0,dc
98,2000.0,74.08,"WASHINGTON,DC",2166.0,52.03,676.0,88.02,452.0,19570.0,106500.0,28.4,0.14,98.61,0.46,0.0,0.0,0.0,0.78,0.0,0.0,0.0,dc
99,2000.0,74.09,"WASHINGTON,DC",3444.0,41.49,1141.0,82.2,469.0,16849.0,91400.0,26.8,0.23,97.79,0.96,0.0,0.03,0.0,0.78,0.2,0.0,0.0,dc
100,2000.0,75.02,"WASHINGTON,DC",4221.0,44.76,1329.0,84.22,484.0,19950.0,126300.0,28.4,1.0,96.59,0.81,0.07,0.14,0.0,1.33,0.07,0.0,0.0,dc
101,2000.0,75.03,"WASHINGTON,DC",2515.0,37.57,578.0,66.44,486.0,21402.0,99800.0,31.5,1.11,96.38,1.03,0.12,0.2,0.04,0.99,0.12,0.0,0.0,dc
102,2000.0,75.04,"WASHINGTON,DC",2358.0,37.94,693.0,80.96,467.0,22755.0,91500.0,24.8,0.89,96.69,0.89,0.17,0.55,0.0,0.68,0.13,0.0,0.0,dc
103,2000.0,76.01,"WASHINGTON,DC",4572.0,21.04,1044.0,55.59,517.0,32930.0,105300.0,22.5,2.36,95.52,1.25,0.15,0.07,0.0,0.61,0.04,0.0,0.0,dc
104,2000.0,76.03,"WASHINGTON,DC",4255.0,16.2,1082.0,50.61,571.0,32837.0,175700.0,27.9,6.23,90.48,1.22,0.21,0.49,0.0,1.27,0.09,0.0,0.0,dc
